Damage level s [%];Damage depth d [mm];Distance D [mm];Freq 1    f1 [Hz];Freq 2    f2 [Hz];Freq 3    f3 [Hz];Freq 4    f4 [Hz];Freq 5    f5 [Hz];Freq 6    f6 [Hz];Freq 7    f7 [Hz];Freq 8    f8 [Hz];Freq 9    f9 [Hz];Freq 10    f10 [Hz]
25;1,25;0;4,05962265;25,43971109;71,23883765;139,6313681;230,896982;345,0654804;482,1747113;642,263909;825,3447285;1031,405899
25;1,25;6;4,04926272;25,38442619;71,10703292;139,4158332;230,6148326;344,7456339;481,8623026;642,0255712;825,2453951;1031,522391
25;1,25;9;4,04963179;25,39143628;71,13861118;139,499639;230,7854279;345,0431565;482,3372395;642,7166917;826,2172981;1032,826924
25;1,25;13;4,05008197;25,40054344;71,17875186;139,604208;230,9969065;345,4087189;482,9084772;643,5456664;827,3573842;1034,334786
25;1,25;17;4,05053342;25,40945616;71,21743933;139,7040741;231,1946397;345,7445918;483,4231465;644,275642;828,3366171;1035,593905
25;1,25;21;4,05097884;25,41841686;71,25501091;139,7992907;231,3777884;346,0511376;483,8788471;644,9052358;829,154006;1036,609559
25;1,25;25;4,05141671;25,42699692;71,2911257;139,8885688;231,5476968;346,3270544;484,2783848;645,4377004;829,8119422;1037,378428
25;1,25;29;4,0518458;25,43538773;71,32563778;139,9728414;231,703518;346,5719226;484,6201336;645,8701475;830,3128234;1037,900984
25;1,25;31;4,05205766;25,43944443;71,34257214;140,0133083;231,7759673;346,6833749;484,7697908;646,0495857;830,503999;1038,074362
25;1,25;35;4,05247446;25,44758927;71,37517829;140,0899558;231,9119073;346,8849734;485,0276896;646,3372503;830,7728915;1038,254683
25;1,25;39;4,05288693;25,45552877;71,40641959;140,1617717;232,0341343;347,0564905;485,2291096;646,5306923;830,8979051;1038,226474
25;1,25;44;4,05342277;25,46530731;71,44355359;140,2431054;232,1682977;347,2299748;485,40319;646,6471868;830,864615;1037,940977
25;1,25;47;4,05370556;25,47078614;71,46498382;140,289623;232,2389497;347,313395;485,4742915;646,6575295;830,7611019;1037,664257
25;1,25;51;4,05411425;25,47834127;71,492166;140,3457827;232,3223084;347,3994464;485,5218247;646,6034146;830,5328521;1037,196786
25;1,25;55;4,05452266;25,48557477;71,51814632;140,3971815;232,391992;347,4594257;485,523369;646,4834112;830,2297092;1036,665523
25;1,25;60;4,05504915;25,49444792;71,5487406;140,4539147;232,4596336;347,4974284;485,467228;646,2560663;829,77957;1035,976265
25;1,25;63;4,05533539;25,4995867;71,56625814;140,4851783;232,4932741;347,5037716;485,4050496;646,0874844;829,4829048;1035,58171
25;1,25;69;4,05594198;25,50962575;71,59873686;140,5382293;232,5369305;347,4766016;485,2300654;645,7068067;828,9009274;1034,90218
25;1,25;74;4,05646654;25,51757289;71,62345459;140,5737219;232,5523144;347,4182321;485,0442086;645,3678098;828,459;1034,507176
25;1,25;77;4,05674679;25,52232001;71,63761803;140,5925751;232,5557575;347,3740717;484,9216065;645,168843;828,2391078;1034,369728
25;1,25;80;4,05706423;25,52688683;71,65048198;140,6072197;232,5506527;347,3173286;484,7930485;644,9750853;828,043818;1034,287567
25;1,25;86;4,05766214;25,53577114;71,67451412;140,6306115;232,5274011;347,1871557;484,5302603;644,6363886;827,7915876;1034,356541
25;1,25;90;4,05805772;25,54147287;71,68897056;140,6407727;232,5006711;347,0890564;484,3603975;644,455875;827,7286398;1034,554753
25;1,25;94;4,05845157;25,54698525;71,70200839;140,6466568;232,4666477;346,9849403;484,1952867;644,3142931;827,7439202;1034,853184
25;1,25;97;4,05872884;25,55105415;71,71117435;140,6491377;232,4383355;346,907085;484,0837183;644,2406556;827,8125456;1035,140131
25;1,25;100;4,05903724;25,55487775;71,71928762;140,6481185;232,404235;346,8256831;483,9807641;644,1900704;827,9137124;1035,447268
25;1,25;108;4,05981052;25,56488051;71,7378223;140,6374086;232,302758;346,616366;483,768857;644,2014085;828,3700522;1036,378723
25;1,25;112;4,06019338;25,56955944;71,74535506;140,6271408;232,2471148;346,5201414;483,7006526;644,2769562;828,6692405;1036,84184
25;1,25;119;4,0608453;25,57739722;71,75561472;140,6025576;232,1462573;346,3721338;483,6516438;644,5134269;829,2539153;1037,553657
25;1,25;126;4,06147562;25,58452583;71,76223389;140,5693996;232,0425449;346,2553789;483,6850904;644,8528087;829,8356831;1037,999072
25;1,25;129;4,06178616;25,58752902;71,76373756;140,553035;231,9985439;346,2170909;483,7255383;645,019695;830,06244;1038,090625
25;1,25;132;4,06207565;25,59027934;71,76512473;140,5361089;231,9571911;346,1883533;483,7820906;645,1899726;830,2715877;1038,108711
25;1,25;140;4,06281181;25,59740854;71,76565076;140,487089;231,8547011;346,1504362;483,9859528;645,6613626;830,6735971;1037,828088
25;1,25;148;4,06353875;25,6036706;71,76225448;140,4332298;231,7681978;346,1710124;484,2583632;646,0901451;830,7910427;1037,086181
25;1,25;152;4,0638988;25,60650419;71,75918069;140,4056662;231,7326404;346,2030135;484,4084598;646,2667055;830,7309648;1036,597702
25;1,25;155;4,06415724;25,60869458;71,7565358;140,3846533;231,7095572;346,2352316;484,5300235;646,3772274;830,640303;1036,196405
25;1,25;162;4,06478663;25,61307916;71,74819666;140,335821;231,6691176;346,3344985;484,7939909;646,5423404;830,2380442;1035,221947
25;1,25;168;4,06531169;25,61642026;71,73949797;140,2957091;231,65012;346,4454751;485,0086544;646,5697777;829,7520886;1034,467949
25;1,25;177;4,06608173;25,6207833;71,72362774;140,2389451;231,6499544;346,6408698;485,2755302;646,4060437;828,8883239;1033,701146
25;1,25;184;4,06668353;25,62358842;71,70939757;140,198972;231,6710447;346,8055628;485,4062929;646,1187706;828,2101318;1033,508432
